Title,Category,Predicted Category
The Secrets of Fossil Teeth Revealed by the Synchrotron: A Long Childhood Is the Prelude to the Evolution of a Large Brain,Quantum Computing,History
Can We Live on Our Planet Without Destroying It?,Blockchain,Blockchain
Meteorite Contains Evidence of Liquid Water on Mars 742 Million Years Ago,General Knowledge,General Knowledge
Bird Brain from the Age of Dinosaurs Reveals Roots of Avian Intelligence,Political News,Political News
Anti-Anxiety and Hallucination-Like Effects of Psychedelics Mediated by Distinct Neural Circuits,Science,Quantum Computing
"In 10 Seconds, an AI Model Detects Cancerous Brain Tumor Often Missed During Surgery",Artificial Intelligence,Artificial Intelligence
Time Alone Heightens 'Threat Alert' in Teenagers -- Even When Connecting on Social Media,Machine Learning,Machine Learning
Super Microscope Shows Nanoscale Biological Process for the First Time,Deep Learning,Deep Learning
Scientists Discover Laser Light Can Cast a Shadow,Data Science,Data Science
Gas-Churning Monster Black Holes,Neural Networks,Neural Networks
Three Galactic 'Red Monsters' in the Early Universe,Geography,Data Science
A Formula for Life? New Model Calculates Chances of Intelligent Beings in Our Universe and Beyond,History,History
"12,000-Year-Old Stones May Be Very Early Evidence of Wheel-Like Technology",Sports,Data Science
Faster Flowing Glaciers Could Help Predict Nearby Volcanic Activity,Quantum Computing,Quantum Computing
Solar-Powered Animal Cells,Blockchain,Blockchain
"Possible to Limit Climate Change to 1.5°C, If EU and 17 Other Countries Go Beyond Their Own Targets",General Knowledge,General Knowledge
"Memories Are Not Only in the Brain, New Research Finds",Political News,Political News
Five Minutes of Extra Exercise a Day Could Lower Blood Pressure,Science,Science
"Restricting Sugar Consumption in Utero and in Early Childhood Significantly Reduces Risk of Midlife Chronic Disease, Study Finds",Artificial Intelligence,Quantum Computing
Scientists Can Reverse Brain Aging in Fruit Flies by Preventing Buildup of a Common Protein,Machine Learning,Machine Learning
"New Discovery Enables Gene Therapy for Muscular Dystrophies, Other Disorders",Deep Learning,Deep Learning
Mathematical Modelling Leads to a Better Understanding of Prostate Cancer,Data Science,Data Science
"Genetic Legacy of Jomon Hunter-Gatherers Linked to Increased BMI in Modern Japanese, Study Finds",Neural Networks,Quantum Computing
"AI Method Can Spot Potential Disease Faster, Better Than Humans, Study Finds",Geography,Geography
It's My Brain's Fault! Why Teenagers Make Often Unwise Decisions,History,History
Recycling in Middle Age May Be Critical for Brain Health,Sports,Sports
Researchers Develop Minimally Invasive Neural Interface in Revolutionary Study,Quantum Computing,Quantum Computing
Neuropathic Pain Drugs Found to Increase Risk of Hip Fracture in Older Adults,Blockchain,Blockchain
Grabbing Pizza With Coworkers Isn't Just Fun -- It Could Boost Your Teamwork Skills,General Knowledge,History
Updated Guidance Reaffirms CPR With Breaths Essential for Cardiac Arrest Following Drowning,Political News,Political News
Debunked: Children Aren't Quicker at Picking Up New Motor Skills Than Adults,Science,Blockchain
Using Personal Care Products During and After Pregnancy Can Increase Exposure to Toxic Chemicals,Artificial Intelligence,Blockchain
Fossil Fuel CO2 Emissions Increase Again in 2024,Machine Learning,Machine Learning
New Haptic Patch Transmits Complexity of Touch to the Skin,Deep Learning,Blockchain
Astronomers Discover the Fastest-Feeding Black Hole in the Early Universe,Data Science,Data Science
One of the Fastest-Spinning Stars in the Universe,Neural Networks,Data Science
'Cool' White Car Headlights More Likely to Dazzle Moths,Geography,Geography
'Game Changer' in Lithium Extraction: Researchers Develop Novel Electrochemical Reactor,History,History
Scientists Find a New Way of Entangling Light and Sound,Sports,Sports
Wave-Predicting Robots Could Cut Green Energy Costs,Quantum Computing,Quantum Computing
Scientists Compile Library for Evaluating Exoplanet Water,Blockchain,Blockchain
Long-Sought Measurement of Exotic Beta Decay in Thallium Helps Extract the Timescale of the Sun's Birth,General Knowledge,General Knowledge
New Solar Composition Ratios That Could Reconcile Longstanding Questions,Political News,Political News
Astronomers' Theory of How Galaxies Formed May Be Upended,Science,Science
Behavioral Analysis in Mice: More Precise Results Despite Fewer Animals,Artificial Intelligence,Artificial Intelligence
Bluetooth Technology Unlocks Urban Animal Secrets,Machine Learning,Blockchain
"NeuroMechFly V2: Simulating How Fruit Flies See, Smell, and Navigate",Deep Learning,Deep Learning
Deep Learning Streamlines Identification of 2D Materials,Data Science,Data Science
First Amber Find on the Antarctic Continent,Neural Networks,Neural Networks
New Insights Into the Denisovans: New Hominin Group That Interbred With Modern Day Humans,Geography,Blockchain
Elephant Turns a Hose Into a Sophisticated Showering Tool,History,History
DNA Evidence Rewrites Story of People Buried in Pompeii Eruption,Sports,Sports
Frog Populations Once Decimated by Disease Mount a Major Comeback,Quantum Computing,Quantum Computing
Optical Biosensor Rapidly Detects Mpox Virus,Blockchain,Blockchain
'Achilles Heel' of Drug-Resistant Pathogens,General Knowledge,General Knowledge
Researchers Reveal Why a Key Tuberculosis Drug Works Against Resistant Strains,Political News,Political News
"Linking Data on Genetics, Traits and Environment Gives Crop Breeders a Wider Lens",Science,Science
Climate Change Threatens Key Ocean Plankton Groups,Artificial Intelligence,Artificial Intelligence
Spectacular Chimneys Discovered in the Dead Sea,Machine Learning,Machine Learning
Air Pollution Exposure May Be Associated With Eczema,Deep Learning,Deep Learning
"More Evidence That Europe's Ancient Landscapes Were Open Woodlands: Oak, Hazel and Yew Were Abundant",Data Science,Data Science
On the Origin of Life: How the First Cell Membranes Came to Exist,Neural Networks,Neural Networks
"A New Wrinkle in Turtles: Their Genomes Fold in a Unique Way, Researchers Find",Geography,Geography
Was 'Snowball Earth' a Global Event? Study Delivers Best Proof Yet,History,History
The True Global Impact of Species-Loss Caused by Humans Is Far Greater Than Expected,Sports,Sports
Rapid Loss of Antarctic Ice After 2100 Likely Under Current Emissions,Quantum Computing,Quantum Computing
"Path to Prosperity for Planet and People Shrinking Rapidly, Scientists Warn",Blockchain,Blockchain
Methane Emissions Are Rising Faster Than Ever,General Knowledge,Quantum Computing
New Study Reveals Half a Century of Change on Britain's Iconic Limestone Pavements,Political News,History
Anti-Fatberg Invention Could Help Unclog City Sewers,Science,Science
Building a Diverse Wildland Fire Workforce to Meet Future Challenges,Artificial Intelligence,Blockchain
Machine Learning Predicts Highest-Risk Groundwater Sites to Improve Water Quality Monitoring,Machine Learning,Machine Learning
Probability Training: Preventing Errors of Reasoning in Medicine and Law,Deep Learning,Deep Learning
Paving the Way for Polymer Design,Data Science,Data Science
Teens Who Made History With Pythagoras' Theorem Discovery Publish Their First Academic Paper With New Proofs,Neural Networks,Neural Networks
Studying Wikipedia Browsing Habits to Learn How People Learn,Geography,Geography
Manliness Concerns Impede Forgiveness of Coworkers,History,History
"Why People Think They're Right, Even When They Are Wrong",Sports,Sports
"A Method of 'Look Twice, Forgive Once' Can Sustain Social Cooperation",Quantum Computing,Quantum Computing
Artificial Intelligence Grunt Work Can Be Outsourced Using a New Blockchain-Based Framework,Blockchain,Blockchain
