Title,Category,Predicted Category
The Secrets of Fossil Teeth Revealed by the Synchrotron: A Long Childhood Is the Prelude to the Evolution of a Large Brain,Quantum Computing,Blockchain
Can We Live on Our Planet Without Destroying It?,Blockchain,Blockchain
Meteorite Contains Evidence of Liquid Water on Mars 742 Million Years Ago,General Knowledge,Blockchain
Bird Brain from the Age of Dinosaurs Reveals Roots of Avian Intelligence,Political News,Blockchain
Anti-Anxiety and Hallucination-Like Effects of Psychedelics Mediated by Distinct Neural Circuits,Science,Blockchain
"In 10 Seconds, an AI Model Detects Cancerous Brain Tumor Often Missed During Surgery",Artificial Intelligence,Blockchain
Time Alone Heightens 'Threat Alert' in Teenagers -- Even When Connecting on Social Media,Machine Learning,Blockchain
Super Microscope Shows Nanoscale Biological Process for the First Time,Deep Learning,Blockchain
Scientists Discover Laser Light Can Cast a Shadow,Data Science,Blockchain
Gas-Churning Monster Black Holes,Neural Networks,Blockchain
Three Galactic 'Red Monsters' in the Early Universe,Geography,Blockchain
A Formula for Life? New Model Calculates Chances of Intelligent Beings in Our Universe and Beyond,History,Blockchain
"12,000-Year-Old Stones May Be Very Early Evidence of Wheel-Like Technology",Sports,Blockchain
Faster Flowing Glaciers Could Help Predict Nearby Volcanic Activity,Quantum Computing,Blockchain
Solar-Powered Animal Cells,Blockchain,Blockchain
"Possible to Limit Climate Change to 1.5°C, If EU and 17 Other Countries Go Beyond Their Own Targets",General Knowledge,Blockchain
"Memories Are Not Only in the Brain, New Research Finds",Political News,Blockchain
Five Minutes of Extra Exercise a Day Could Lower Blood Pressure,Science,Blockchain
"Restricting Sugar Consumption in Utero and in Early Childhood Significantly Reduces Risk of Midlife Chronic Disease, Study Finds",Artificial Intelligence,Blockchain
Scientists Can Reverse Brain Aging in Fruit Flies by Preventing Buildup of a Common Protein,Machine Learning,Blockchain
"New Discovery Enables Gene Therapy for Muscular Dystrophies, Other Disorders",Deep Learning,Blockchain
Mathematical Modelling Leads to a Better Understanding of Prostate Cancer,Data Science,Blockchain
"Genetic Legacy of Jomon Hunter-Gatherers Linked to Increased BMI in Modern Japanese, Study Finds",Neural Networks,Blockchain
"AI Method Can Spot Potential Disease Faster, Better Than Humans, Study Finds",Geography,Blockchain
It's My Brain's Fault! Why Teenagers Make Often Unwise Decisions,History,Blockchain
Recycling in Middle Age May Be Critical for Brain Health,Sports,Blockchain
Researchers Develop Minimally Invasive Neural Interface in Revolutionary Study,Quantum Computing,Blockchain
Neuropathic Pain Drugs Found to Increase Risk of Hip Fracture in Older Adults,Blockchain,Blockchain
Grabbing Pizza With Coworkers Isn't Just Fun -- It Could Boost Your Teamwork Skills,General Knowledge,Blockchain
Updated Guidance Reaffirms CPR With Breaths Essential for Cardiac Arrest Following Drowning,Political News,Blockchain
Debunked: Children Aren't Quicker at Picking Up New Motor Skills Than Adults,Science,Blockchain
Using Personal Care Products During and After Pregnancy Can Increase Exposure to Toxic Chemicals,Artificial Intelligence,Blockchain
Fossil Fuel CO2 Emissions Increase Again in 2024,Machine Learning,Blockchain
New Haptic Patch Transmits Complexity of Touch to the Skin,Deep Learning,Blockchain
